context,question,answer,false_answer1,false_answer2,false_answer3
"Like the reptiles, birds are primarily uricotelic, that is, their kidneys extract nitrogenous waste from their bloodstream and excrete it as uric acid instead of urea or ammonia through the ureters into the intestine. Birds do not have a urinary bladder or external urethral opening and (with exception of the ostrich) uric acid is excreted along with feces as a semisolid waste. However, birds such as hummingbirds can be facultatively ammonotelic, excreting most of the nitrogenous wastes as ammonia. They also excrete creatine, rather than creatinine like mammals. This material, as well as the output of the intestines, emerges from the bird's cloaca. The cloaca is a multi-purpose opening: waste is expelled through it, most birds mate by joining cloaca, and females lay eggs from it. In addition, many species of birds regurgitate pellets. Males within Palaeognathae (with the exception of the kiwis), the Anseriformes (with the exception of screamers), and in rudimentary forms in Galliformes (but fully developed in Cracidae) possess a penis, which is never present in Neoaves. The length is thought to be related to sperm competition. When not copulating, it is hidden within the proctodeum compartment within the cloaca, just inside the vent. The digestive system of birds is unique, with a crop for storage and a gizzard that contains swallowed stones for grinding food to compensate for the lack of teeth. Most birds are highly adapted for rapid digestion to aid with flight. Some migratory birds have adapted to use protein from many parts of their bodies, including protein from the intestines, as additional energy during migration.",What is the primary source of nitrogenous waste in a bird?, kidneys, organs, urea, uric acid
"Like the reptiles, birds are primarily uricotelic, that is, their kidneys extract nitrogenous waste from their bloodstream and excrete it as uric acid instead of urea or ammonia through the ureters into the intestine. Birds do not have a urinary bladder or external urethral opening and (with exception of the ostrich) uric acid is excreted along with feces as a semisolid waste. However, birds such as hummingbirds can be facultatively ammonotelic, excreting most of the nitrogenous wastes as ammonia. They also excrete creatine, rather than creatinine like mammals. This material, as well as the output of the intestines, emerges from the bird's cloaca. The cloaca is a multi-purpose opening: waste is expelled through it, most birds mate by joining cloaca, and females lay eggs from it. In addition, many species of birds regurgitate pellets. Males within Palaeognathae (with the exception of the kiwis), the Anseriformes (with the exception of screamers), and in rudimentary forms in Galliformes (but fully developed in Cracidae) possess a penis, which is never present in Neoaves. The length is thought to be related to sperm competition. When not copulating, it is hidden within the proctodeum compartment within the cloaca, just inside the vent. The digestive system of birds is unique, with a crop for storage and a gizzard that contains swallowed stones for grinding food to compensate for the lack of teeth. Most birds are highly adapted for rapid digestion to aid with flight. Some migratory birds have adapted to use protein from many parts of their bodies, including protein from the intestines, as additional energy during migration.",What is the urea or ammonium that birds excrete?, uric acid, eusary acid, creatinine, urethral
"Although asthma is a chronic obstructive condition, it is not considered as a part of chronic obstructive pulmonary disease as this term refers specifically to combinations of disease that are irreversible such as bronchiectasis, chronic bronchitis, and emphysema. Unlike these diseases, the airway obstruction in asthma is usually reversible; however, if left untreated, the chronic inflammation from asthma can lead the lungs to become irreversibly obstructed due to airway remodeling. In contrast to emphysema, asthma affects the bronchi, not the alveoli.",What is usually reversible in asthma?, airway obstruction, airway remodeling, emphysema, bronchiectasis
"Although asthma is a chronic obstructive condition, it is not considered as a part of chronic obstructive pulmonary disease as this term refers specifically to combinations of disease that are irreversible such as bronchiectasis, chronic bronchitis, and emphysema. Unlike these diseases, the airway obstruction in asthma is usually reversible; however, if left untreated, the chronic inflammation from asthma can lead the lungs to become irreversibly obstructed due to airway remodeling. In contrast to emphysema, asthma affects the bronchi, not the alveoli.",What can the chronic inflammation of asthma cause?, the lungs to become irreversibly obstructed due to airway remodeling, the airway obstruction to be reversible," the bronchi, not the alveoli to be irreversible", airway remodeling to be avoided
"Although asthma is a chronic obstructive condition, it is not considered as a part of chronic obstructive pulmonary disease as this term refers specifically to combinations of disease that are irreversible such as bronchiectasis, chronic bronchitis, and emphysema. Unlike these diseases, the airway obstruction in asthma is usually reversible; however, if left untreated, the chronic inflammation from asthma can lead the lungs to become irreversibly obstructed due to airway remodeling. In contrast to emphysema, asthma affects the bronchi, not the alveoli.","If left untreated, what can cause asthma to become obstructed?", untreated, badly treated, untreated and eat some food, not well
"Although asthma is a chronic obstructive condition, it is not considered as a part of chronic obstructive pulmonary disease as this term refers specifically to combinations of disease that are irreversible such as bronchiectasis, chronic bronchitis, and emphysema. Unlike these diseases, the airway obstruction in asthma is usually reversible; however, if left untreated, the chronic inflammation from asthma can lead the lungs to become irreversibly obstructed due to airway remodeling. In contrast to emphysema, asthma affects the bronchi, not the alveoli.",What is the effect of emphysia?," asthma affects the bronch, not the alveoli", asthma is a combination of illnesses., the alveoli affects airway remodeling.," bronchiectasis, chronic bronchitis, and emphysema."
"Although asthma is a chronic obstructive condition, it is not considered as a part of chronic obstructive pulmonary disease as this term refers specifically to combinations of disease that are irreversible such as bronchiectasis, chronic bronchitis, and emphysema. Unlike these diseases, the airway obstruction in asthma is usually reversible; however, if left untreated, the chronic inflammation from asthma can lead the lungs to become irreversibly obstructed due to airway remodeling. In contrast to emphysema, asthma affects the bronchi, not the alveoli.",What is the airway obstruction in asthma usually?, reversible, irreversible, irreversibly, irreversibly perturbed
"Although asthma is a chronic obstructive condition, it is not considered as a part of chronic obstructive pulmonary disease as this term refers specifically to combinations of disease that are irreversible such as bronchiectasis, chronic bronchitis, and emphysema. Unlike these diseases, the airway obstruction in asthma is usually reversible; however, if left untreated, the chronic inflammation from asthma can lead the lungs to become irreversibly obstructed due to airway remodeling. In contrast to emphysema, asthma affects the bronchi, not the alveoli.",What are some examples of irreversible combinations?," bronchiectasis, chronic bronchitis, and emphysema"," chronic agnectasis, asthma, and the alveoli chronic inflammation from asthma"," chronic inflammation, and alveoli"," chronic bruchitasis, lung obstruction and remphy"
"However, it is important to understand that despite the presence of reception statutes, much of contemporary American common law has diverged significantly from English common law. The reason is that although the courts of the various Commonwealth nations are often influenced by each other's rulings, American courts rarely follow post-Revolution Commonwealth rulings unless there is no American ruling on point, the facts and law at issue are nearly identical, and the reasoning is strongly persuasive.",What country's common law is influenced by the reception statute?, British, American, Britain, Canadian
"However, it is important to understand that despite the presence of reception statutes, much of contemporary American common law has diverged significantly from English common law. The reason is that although the courts of the various Commonwealth nations are often influenced by each other's rulings, American courts rarely follow post-Revolution Commonwealth rulings unless there is no American ruling on point, the facts and law at issue are nearly identical, and the reasoning is strongly persuasive.",What is the reason for American common law differences?, The reasoning is strongly persuasive, The facts are highly convincing, The argument is nearly identical, The evidence is good.
"However, it is important to understand that despite the presence of reception statutes, much of contemporary American common law has diverged significantly from English common law. The reason is that although the courts of the various Commonwealth nations are often influenced by each other's rulings, American courts rarely follow post-Revolution Commonwealth rulings unless there is no American ruling on point, the facts and law at issue are nearly identical, and the reasoning is strongly persuasive.",What type of ruling is rarely followed by the Commonwealth?, an American ruling, a British ruling, an English ruling, A Foreign ruling
"However, it is important to understand that despite the presence of reception statutes, much of contemporary American common law has diverged significantly from English common law. The reason is that although the courts of the various Commonwealth nations are often influenced by each other's rulings, American courts rarely follow post-Revolution Commonwealth rulings unless there is no American ruling on point, the facts and law at issue are nearly identical, and the reasoning is strongly persuasive.",What is the main distinction between American common law and contemporary American?, English common law, American common law, A common law, contemporary American common law
"However, it is important to understand that despite the presence of reception statutes, much of contemporary American common law has diverged significantly from English common law. The reason is that although the courts of the various Commonwealth nations are often influenced by each other's rulings, American courts rarely follow post-Revolution Commonwealth rulings unless there is no American ruling on point, the facts and law at issue are nearly identical, and the reasoning is strongly persuasive.",What is important to understand that much of contemporary American common law has diverged significantly from English?, reception statutes, post Revolution Commonwealth rulings, the facts and law at issue, the law at the issue is almost identical
"However, it is important to understand that despite the presence of reception statutes, much of contemporary American common law has diverged significantly from English common law. The reason is that although the courts of the various Commonwealth nations are often influenced by each other's rulings, American courts rarely follow post-Revolution Commonwealth rulings unless there is no American ruling on point, the facts and law at issue are nearly identical, and the reasoning is strongly persuasive.",What is the reason for differences in American common law?, American courts rarely follow post-Revolution Commonwealth rulings, American courts are often influenced by each other's rulings, Neither of the jurisdictions nor the courts in the Commonwealth nations have any special laws., American courts have no front rules
"However, it is important to understand that despite the presence of reception statutes, much of contemporary American common law has diverged significantly from English common law. The reason is that although the courts of the various Commonwealth nations are often influenced by each other's rulings, American courts rarely follow post-Revolution Commonwealth rulings unless there is no American ruling on point, the facts and law at issue are nearly identical, and the reasoning is strongly persuasive.",Why do American courts rarely follow post-Revolution Commonwealth rulings?, unless there is no American ruling on point, unless American rules are identical., unless there is American rule onto point. mes unless the facts and law at issue are nearly identical, if American ruling is on point
"However, it is important to understand that despite the presence of reception statutes, much of contemporary American common law has diverged significantly from English common law. The reason is that although the courts of the various Commonwealth nations are often influenced by each other's rulings, American courts rarely follow post-Revolution Commonwealth rulings unless there is no American ruling on point, the facts and law at issue are nearly identical, and the reasoning is strongly persuasive.",What language is the common law of American versus English?, French, English, German, Spanish
"However, it is important to understand that despite the presence of reception statutes, much of contemporary American common law has diverged significantly from English common law. The reason is that although the courts of the various Commonwealth nations are often influenced by each other's rulings, American courts rarely follow post-Revolution Commonwealth rulings unless there is no American ruling on point, the facts and law at issue are nearly identical, and the reasoning is strongly persuasive.",What is the reason for American common law not following post-Revolution Commonwealth rulings?, the facts and law at issue are nearly identical, the facts and law to make us more persuasive., the facts and law at issue are more important than English, the facts are in favor of the law at question
"Most of an annelid's body consists of segments that are practically identical, having the same sets of internal organs and external chaetae (Greek χαιτη, meaning ""hair"") and, in some species, appendages. However, the frontmost and rearmost sections are not regarded as true segments as they do not contain the standard sets of organs and do not develop in the same way as the true segments. The frontmost section, called the prostomium (Greek προ- meaning ""in front of"" and στομα meaning ""mouth"") contains the brain and sense organs, while the rearmost, called the pygidium (Greek πυγιδιον, meaning ""little tail"") or periproct contains the anus, generally on the underside. The first section behind the prostomium, called the peristomium (Greek περι- meaning ""around"" and στομα meaning ""mouth""), is regarded by some zoologists as not a true segment, but in some polychaetes the peristomium has chetae and appendages like those of other segments.",Why are the frontmost and rear sections not regarded as true segments?, they do not contain the standard sets of organs or do not develop in the same way as the true segments., The frontmost and rear sections don't carry the standard sets of organs., They do not contain the same parts., They are not as good as the rearmost segments.
"Most of an annelid's body consists of segments that are practically identical, having the same sets of internal organs and external chaetae (Greek χαιτη, meaning ""hair"") and, in some species, appendages. However, the frontmost and rearmost sections are not regarded as true segments as they do not contain the standard sets of organs and do not develop in the same way as the true segments. The frontmost section, called the prostomium (Greek προ- meaning ""in front of"" and στομα meaning ""mouth"") contains the brain and sense organs, while the rearmost, called the pygidium (Greek πυγιδιον, meaning ""little tail"") or periproct contains the anus, generally on the underside. The first section behind the prostomium, called the peristomium (Greek περι- meaning ""around"" and στομα meaning ""mouth""), is regarded by some zoologists as not a true segment, but in some polychaetes the peristomium has chetae and appendages like those of other segments.",What is the rearmost section of an annelid?," it contains the brain and sense organs, while the rearmost, called the pygidium"," It contains it is, like it contains the inner organs, while the rearmost, called the anus.", it contains body organs that are identical.," it contains a real body, while the frontmost is called the pygidium"
"Most of an annelid's body consists of segments that are practically identical, having the same sets of internal organs and external chaetae (Greek χαιτη, meaning ""hair"") and, in some species, appendages. However, the frontmost and rearmost sections are not regarded as true segments as they do not contain the standard sets of organs and do not develop in the same way as the true segments. The frontmost section, called the prostomium (Greek προ- meaning ""in front of"" and στομα meaning ""mouth"") contains the brain and sense organs, while the rearmost, called the pygidium (Greek πυγιδιον, meaning ""little tail"") or periproct contains the anus, generally on the underside. The first section behind the prostomium, called the peristomium (Greek περι- meaning ""around"" and στομα meaning ""mouth""), is regarded by some zoologists as not a true segment, but in some polychaetes the peristomium has chetae and appendages like those of other segments.",What are the segments that do not contain standard sets of organs?, The frontmost and rearmost sections are not regarded as true segments, The frontmost and rearmost sections are the same, External chaetae are not true segments., There are not any special kinds of organs in the frontmost and rear sections.
"Most of an annelid's body consists of segments that are practically identical, having the same sets of internal organs and external chaetae (Greek χαιτη, meaning ""hair"") and, in some species, appendages. However, the frontmost and rearmost sections are not regarded as true segments as they do not contain the standard sets of organs and do not develop in the same way as the true segments. The frontmost section, called the prostomium (Greek προ- meaning ""in front of"" and στομα meaning ""mouth"") contains the brain and sense organs, while the rearmost, called the pygidium (Greek πυγιδιον, meaning ""little tail"") or periproct contains the anus, generally on the underside. The first section behind the prostomium, called the peristomium (Greek περι- meaning ""around"" and στομα meaning ""mouth""), is regarded by some zoologists as not a true segment, but in some polychaetes the peristomium has chetae and appendages like those of other segments.",What is the first section behind annelid's body called?, peristomium, pygidium, periproct, proct
"Most of an annelid's body consists of segments that are practically identical, having the same sets of internal organs and external chaetae (Greek χαιτη, meaning ""hair"") and, in some species, appendages. However, the frontmost and rearmost sections are not regarded as true segments as they do not contain the standard sets of organs and do not develop in the same way as the true segments. The frontmost section, called the prostomium (Greek προ- meaning ""in front of"" and στομα meaning ""mouth"") contains the brain and sense organs, while the rearmost, called the pygidium (Greek πυγιδιον, meaning ""little tail"") or periproct contains the anus, generally on the underside. The first section behind the prostomium, called the peristomium (Greek περι- meaning ""around"" and στομα meaning ""mouth""), is regarded by some zoologists as not a true segment, but in some polychaetes the peristomium has chetae and appendages like those of other segments.",What is usually on the underside of a body?, anus, gland, the pygidium, a plygia
"Most of an annelid's body consists of segments that are practically identical, having the same sets of internal organs and external chaetae (Greek χαιτη, meaning ""hair"") and, in some species, appendages. However, the frontmost and rearmost sections are not regarded as true segments as they do not contain the standard sets of organs and do not develop in the same way as the true segments. The frontmost section, called the prostomium (Greek προ- meaning ""in front of"" and στομα meaning ""mouth"") contains the brain and sense organs, while the rearmost, called the pygidium (Greek πυγιδιον, meaning ""little tail"") or periproct contains the anus, generally on the underside. The first section behind the prostomium, called the peristomium (Greek περι- meaning ""around"" and στομα meaning ""mouth""), is regarded by some zoologists as not a true segment, but in some polychaetes the peristomium has chetae and appendages like those of other segments.",Where is the rearmost of an annelid's body located?, on the underside, under the head, in the front, on the back
"Most of an annelid's body consists of segments that are practically identical, having the same sets of internal organs and external chaetae (Greek χαιτη, meaning ""hair"") and, in some species, appendages. However, the frontmost and rearmost sections are not regarded as true segments as they do not contain the standard sets of organs and do not develop in the same way as the true segments. The frontmost section, called the prostomium (Greek προ- meaning ""in front of"" and στομα meaning ""mouth"") contains the brain and sense organs, while the rearmost, called the pygidium (Greek πυγιδιον, meaning ""little tail"") or periproct contains the anus, generally on the underside. The first section behind the prostomium, called the peristomium (Greek περι- meaning ""around"" and στομα meaning ""mouth""), is regarded by some zoologists as not a true segment, but in some polychaetes the peristomium has chetae and appendages like those of other segments.",Who regarded the first section behind prostomium as not true segments?, zoologists, some zoologists, scientists, annelids
"Most of an annelid's body consists of segments that are practically identical, having the same sets of internal organs and external chaetae (Greek χαιτη, meaning ""hair"") and, in some species, appendages. However, the frontmost and rearmost sections are not regarded as true segments as they do not contain the standard sets of organs and do not develop in the same way as the true segments. The frontmost section, called the prostomium (Greek προ- meaning ""in front of"" and στομα meaning ""mouth"") contains the brain and sense organs, while the rearmost, called the pygidium (Greek πυγιδιον, meaning ""little tail"") or periproct contains the anus, generally on the underside. The first section behind the prostomium, called the peristomium (Greek περι- meaning ""around"" and στομα meaning ""mouth""), is regarded by some zoologists as not a true segment, but in some polychaetes the peristomium has chetae and appendages like those of other segments.",What are the segments of an annelid's body?, the same sets of internal organs and external chaetae (Greek , the same sets of internal and rearmost sections, the different sets of external aegidium and peristomium, and external chaeticae Greece
"Most of an annelid's body consists of segments that are practically identical, having the same sets of internal organs and external chaetae (Greek χαιτη, meaning ""hair"") and, in some species, appendages. However, the frontmost and rearmost sections are not regarded as true segments as they do not contain the standard sets of organs and do not develop in the same way as the true segments. The frontmost section, called the prostomium (Greek προ- meaning ""in front of"" and στομα meaning ""mouth"") contains the brain and sense organs, while the rearmost, called the pygidium (Greek πυγιδιον, meaning ""little tail"") or periproct contains the anus, generally on the underside. The first section behind the prostomium, called the peristomium (Greek περι- meaning ""around"" and στομα meaning ""mouth""), is regarded by some zoologists as not a true segment, but in some polychaetes the peristomium has chetae and appendages like those of other segments.",What are the two types of chaetas?,", meaning ""hair"") and, in some species, appendages",",,meaning ""mouth"" and, in an species, ",", meaning,in front of"" and, in a species, tail",",, mean ""hair"" and, in most species, apendages and chetae"
"Henry VII added a Perpendicular style chapel dedicated to the Blessed Virgin Mary in 1503 (known as the Henry VII Chapel or the ""Lady Chapel""). Much of the stone came from Caen, in France (Caen stone), the Isle of Portland (Portland stone) and the Loire Valley region of France (tuffeau limestone).[citation needed]",When was the Perpendicular style chapel added?, 1503, 1501, 1623, 1800
"Henry VII added a Perpendicular style chapel dedicated to the Blessed Virgin Mary in 1503 (known as the Henry VII Chapel or the ""Lady Chapel""). Much of the stone came from Caen, in France (Caen stone), the Isle of Portland (Portland stone) and the Loire Valley region of France (tuffeau limestone).[citation needed]",Who added a Perpendicular style chapel?, Henry VII, the Blessed Virgin Mary, The Isle of Portland, the Loire Valley region of France
"Henry VII added a Perpendicular style chapel dedicated to the Blessed Virgin Mary in 1503 (known as the Henry VII Chapel or the ""Lady Chapel""). Much of the stone came from Caen, in France (Caen stone), the Isle of Portland (Portland stone) and the Loire Valley region of France (tuffeau limestone).[citation needed]",What is the name of Portugal stone?, Isle of Portland, Caen, the Loire Valley, Monteau limestone
"Henry VII added a Perpendicular style chapel dedicated to the Blessed Virgin Mary in 1503 (known as the Henry VII Chapel or the ""Lady Chapel""). Much of the stone came from Caen, in France (Caen stone), the Isle of Portland (Portland stone) and the Loire Valley region of France (tuffeau limestone).[citation needed]",What type of chapel was added to the Blessed Virgin Mary?, a Perpendicular style chapel, a French Chapel, a Lawn chapel, a Henry VII Chapel
"Henry VII added a Perpendicular style chapel dedicated to the Blessed Virgin Mary in 1503 (known as the Henry VII Chapel or the ""Lady Chapel""). Much of the stone came from Caen, in France (Caen stone), the Isle of Portland (Portland stone) and the Loire Valley region of France (tuffeau limestone).[citation needed]",What region of France is tuffeau limestone?, Loire Valley, Caen, Isle of Portland, the Isle of Pear
"Henry VII added a Perpendicular style chapel dedicated to the Blessed Virgin Mary in 1503 (known as the Henry VII Chapel or the ""Lady Chapel""). Much of the stone came from Caen, in France (Caen stone), the Isle of Portland (Portland stone) and the Loire Valley region of France (tuffeau limestone).[citation needed]",What type of stone came from France?, Caen stone, Tupel stone, Teny stone, A Portland stone
"Henry VII added a Perpendicular style chapel dedicated to the Blessed Virgin Mary in 1503 (known as the Henry VII Chapel or the ""Lady Chapel""). Much of the stone came from Caen, in France (Caen stone), the Isle of Portland (Portland stone) and the Loire Valley region of France (tuffeau limestone).[citation needed]",Who was the Perpendicular style chapel dedicated to?, the Blessed Virgin Mary, a Mary," the ""Lady Chapel""", the King of Britain
"Henry VII added a Perpendicular style chapel dedicated to the Blessed Virgin Mary in 1503 (known as the Henry VII Chapel or the ""Lady Chapel""). Much of the stone came from Caen, in France (Caen stone), the Isle of Portland (Portland stone) and the Loire Valley region of France (tuffeau limestone).[citation needed]",What is the name of Henry VII Chapel?, Lady Chapel, Garden Chapel, Clever Virgin Mary Chapel, Culture Chapel
"African Presbyterian churches often incorporate diaconal ministries, including social services, emergency relief, and the operation of mission hospitals. A number of partnerships exist between presbyteries in Africa and the PC(USA), including specific connections with Lesotho, Malawi, South Africa, Ghana and Zambia. For example, the Lackawanna Presbytery, located in Northeastern Pennsylvania, has a partnership with a presbytery in Ghana. Also the Southminster Presbyterian Church, located near Pittsburgh, has partnerships with churches in Malawi and Kenya. The Presbyterian Church of Nigeria, western Africa is also healthy and strong in mostly the southern states of this nation, strong density in the south-eastern states of this country. Beginning from Cross River state, the nearby coastal states, Rivers state, Lagos state to Ebonyi and Abia States. The missionary expedition of Mary Slessor and Hope Waddel and their group in the mid 18th century in this coastal regions of the ten British colony has brought about the beginning and the flourishing of this church in these areas.",Where are presbyteries located?," Africa and the PC(USA),", The UK and Africa., Nigeria and Africa.," Both Africa and Kenya,"
"African Presbyterian churches often incorporate diaconal ministries, including social services, emergency relief, and the operation of mission hospitals. A number of partnerships exist between presbyteries in Africa and the PC(USA), including specific connections with Lesotho, Malawi, South Africa, Ghana and Zambia. For example, the Lackawanna Presbytery, located in Northeastern Pennsylvania, has a partnership with a presbytery in Ghana. Also the Southminster Presbyterian Church, located near Pittsburgh, has partnerships with churches in Malawi and Kenya. The Presbyterian Church of Nigeria, western Africa is also healthy and strong in mostly the southern states of this nation, strong density in the south-eastern states of this country. Beginning from Cross River state, the nearby coastal states, Rivers state, Lagos state to Ebonyi and Abia States. The missionary expedition of Mary Slessor and Hope Waddel and their group in the mid 18th century in this coastal regions of the ten British colony has brought about the beginning and the flourishing of this church in these areas.",Who led the missionary expedition in Cape Town?, Mary Slessor and Hope Waddel, Francis Drake and Mary Slowan, Both John and Sarah, the Southminster Presbyterian Church
"African Presbyterian churches often incorporate diaconal ministries, including social services, emergency relief, and the operation of mission hospitals. A number of partnerships exist between presbyteries in Africa and the PC(USA), including specific connections with Lesotho, Malawi, South Africa, Ghana and Zambia. For example, the Lackawanna Presbytery, located in Northeastern Pennsylvania, has a partnership with a presbytery in Ghana. Also the Southminster Presbyterian Church, located near Pittsburgh, has partnerships with churches in Malawi and Kenya. The Presbyterian Church of Nigeria, western Africa is also healthy and strong in mostly the southern states of this nation, strong density in the south-eastern states of this country. Beginning from Cross River state, the nearby coastal states, Rivers state, Lagos state to Ebonyi and Abia States. The missionary expedition of Mary Slessor and Hope Waddel and their group in the mid 18th century in this coastal regions of the ten British colony has brought about the beginning and the flourishing of this church in these areas.",When did the missionary expedition of Mary Slessor and Hope Waddel take place?, mid 18th century, 15th century, mid 21st century, mid 18x century
"African Presbyterian churches often incorporate diaconal ministries, including social services, emergency relief, and the operation of mission hospitals. A number of partnerships exist between presbyteries in Africa and the PC(USA), including specific connections with Lesotho, Malawi, South Africa, Ghana and Zambia. For example, the Lackawanna Presbytery, located in Northeastern Pennsylvania, has a partnership with a presbytery in Ghana. Also the Southminster Presbyterian Church, located near Pittsburgh, has partnerships with churches in Malawi and Kenya. The Presbyterian Church of Nigeria, western Africa is also healthy and strong in mostly the southern states of this nation, strong density in the south-eastern states of this country. Beginning from Cross River state, the nearby coastal states, Rivers state, Lagos state to Ebonyi and Abia States. The missionary expedition of Mary Slessor and Hope Waddel and their group in the mid 18th century in this coastal regions of the ten British colony has brought about the beginning and the flourishing of this church in these areas.",What are the two states that connect Nigeria to?, Ebonyi and Abia States, Nigeria and Ethiopia, New York and Southminster, South Africa and Zambia
"African Presbyterian churches often incorporate diaconal ministries, including social services, emergency relief, and the operation of mission hospitals. A number of partnerships exist between presbyteries in Africa and the PC(USA), including specific connections with Lesotho, Malawi, South Africa, Ghana and Zambia. For example, the Lackawanna Presbytery, located in Northeastern Pennsylvania, has a partnership with a presbytery in Ghana. Also the Southminster Presbyterian Church, located near Pittsburgh, has partnerships with churches in Malawi and Kenya. The Presbyterian Church of Nigeria, western Africa is also healthy and strong in mostly the southern states of this nation, strong density in the south-eastern states of this country. Beginning from Cross River state, the nearby coastal states, Rivers state, Lagos state to Ebonyi and Abia States. The missionary expedition of Mary Slessor and Hope Waddel and their group in the mid 18th century in this coastal regions of the ten British colony has brought about the beginning and the flourishing of this church in these areas.",What church is located near Pittsburgh?, Southminster Presbyterian Church, The Presbyterian Church of Nigeria, The Coloquium Church, Ethiopia Presbyterian Church
"African Presbyterian churches often incorporate diaconal ministries, including social services, emergency relief, and the operation of mission hospitals. A number of partnerships exist between presbyteries in Africa and the PC(USA), including specific connections with Lesotho, Malawi, South Africa, Ghana and Zambia. For example, the Lackawanna Presbytery, located in Northeastern Pennsylvania, has a partnership with a presbytery in Ghana. Also the Southminster Presbyterian Church, located near Pittsburgh, has partnerships with churches in Malawi and Kenya. The Presbyterian Church of Nigeria, western Africa is also healthy and strong in mostly the southern states of this nation, strong density in the south-eastern states of this country. Beginning from Cross River state, the nearby coastal states, Rivers state, Lagos state to Ebonyi and Abia States. The missionary expedition of Mary Slessor and Hope Waddel and their group in the mid 18th century in this coastal regions of the ten British colony has brought about the beginning and the flourishing of this church in these areas.",What country is the Presbyterian Church of Nigeria located in?, West Africa, East Africa, Africa, Kenya
"African Presbyterian churches often incorporate diaconal ministries, including social services, emergency relief, and the operation of mission hospitals. A number of partnerships exist between presbyteries in Africa and the PC(USA), including specific connections with Lesotho, Malawi, South Africa, Ghana and Zambia. For example, the Lackawanna Presbytery, located in Northeastern Pennsylvania, has a partnership with a presbytery in Ghana. Also the Southminster Presbyterian Church, located near Pittsburgh, has partnerships with churches in Malawi and Kenya. The Presbyterian Church of Nigeria, western Africa is also healthy and strong in mostly the southern states of this nation, strong density in the south-eastern states of this country. Beginning from Cross River state, the nearby coastal states, Rivers state, Lagos state to Ebonyi and Abia States. The missionary expedition of Mary Slessor and Hope Waddel and their group in the mid 18th century in this coastal regions of the ten British colony has brought about the beginning and the flourishing of this church in these areas.",What type of church often incorporates diaconal ministries?, African Presbyterian churches, Southminster Presbyterian churches, the Presbyterian Church of Nigeria, The Southminter Presbyterian Church
"African Presbyterian churches often incorporate diaconal ministries, including social services, emergency relief, and the operation of mission hospitals. A number of partnerships exist between presbyteries in Africa and the PC(USA), including specific connections with Lesotho, Malawi, South Africa, Ghana and Zambia. For example, the Lackawanna Presbytery, located in Northeastern Pennsylvania, has a partnership with a presbytery in Ghana. Also the Southminster Presbyterian Church, located near Pittsburgh, has partnerships with churches in Malawi and Kenya. The Presbyterian Church of Nigeria, western Africa is also healthy and strong in mostly the southern states of this nation, strong density in the south-eastern states of this country. Beginning from Cross River state, the nearby coastal states, Rivers state, Lagos state to Ebonyi and Abia States. The missionary expedition of Mary Slessor and Hope Waddel and their group in the mid 18th century in this coastal regions of the ten British colony has brought about the beginning and the flourishing of this church in these areas.",Where is the Presbyterian Church of Nigeria located?, south-eastern states of this country, westwestern states of this country, east eastern states of Africa, South southern states of Africa
"In 1959, an international gathering of over 185 judges, lawyers, and law professors from 53 countries, meeting in New Delhi and speaking as the International Commission of Jurists, made a declaration as to the fundamental principle of the rule of law. This was the Declaration of Delhi. They declared that the rule of law implies certain rights and freedoms, that it implies an independent judiciary, and that it implies social, economic and cultural conditions conducive to human dignity. The Declaration of Delhi did not, however, suggest that the rule of law requires legislative power to be subject to judicial review.","How many judges, lawyers and law professors attended the International Commission of Jurist'", 185, 235, 177, 275
"In 1959, an international gathering of over 185 judges, lawyers, and law professors from 53 countries, meeting in New Delhi and speaking as the International Commission of Jurists, made a declaration as to the fundamental principle of the rule of law. This was the Declaration of Delhi. They declared that the rule of law implies certain rights and freedoms, that it implies an independent judiciary, and that it implies social, economic and cultural conditions conducive to human dignity. The Declaration of Delhi did not, however, suggest that the rule of law requires legislative power to be subject to judicial review.",In what year did the Declaration of Delhi declare that a rule in law implies certain rights and freedoms?, 1963, 1974, 1969, 1959
"In 1959, an international gathering of over 185 judges, lawyers, and law professors from 53 countries, meeting in New Delhi and speaking as the International Commission of Jurists, made a declaration as to the fundamental principle of the rule of law. This was the Declaration of Delhi. They declared that the rule of law implies certain rights and freedoms, that it implies an independent judiciary, and that it implies social, economic and cultural conditions conducive to human dignity. The Declaration of Delhi did not, however, suggest that the rule of law requires legislative power to be subject to judicial review.",When did the Declaration of Delhi make a declaration regarding what principle?, 1959, 1969, 1963, 1953
"In 1959, an international gathering of over 185 judges, lawyers, and law professors from 53 countries, meeting in New Delhi and speaking as the International Commission of Jurists, made a declaration as to the fundamental principle of the rule of law. This was the Declaration of Delhi. They declared that the rule of law implies certain rights and freedoms, that it implies an independent judiciary, and that it implies social, economic and cultural conditions conducive to human dignity. The Declaration of Delhi did not, however, suggest that the rule of law requires legislative power to be subject to judicial review.",How many people attended the Declaration of Delhi?," over 185 judges, lawyers, and law professors"," over 53 judges, scientists, and businessmen"," about 183 lawyers, lawyers and law profs from 53 countries"," 53 judges, attorneys, and attorney attorneys"
